address_hierarchy_entry_idEPTS,name EPTS,level_idEPTS,parent_idEPTS,user_generated_idEPTS,latitudeEPTS,longitudeEPTS,elevationEPTS,uuidEPTS,address_hierarchy_entry_id,name,level_id,parent_id,user_generated_id,latitude,longitude,elevation,uuid
1178,Namigonha,5,1172,,,,,1a59ad80-03e2-4e59-a34c-d5594dbbb569,,Namigonha,,,,,,,44caa0e0-e52b-4c71-8a48-e329b8f9468e
1178,Namigonha,5,1172,,,,,1a59ad80-03e2-4e59-a34c-d5594dbbb569,,Namigonha,,,,,,,44caa0e0-e52b-4c71-8a48-e329b8f9468e
1178,Namigonha,5,1172,,,,,1a59ad80-03e2-4e59-a34c-d5594dbbb569,,Namigonha,,,,,,,44caa0e0-e52b-4c71-8a48-e329b8f9468e
1178,Namigonha,5,1172,,,,,1a59ad80-03e2-4e59-a34c-d5594dbbb569,,Namigonha,,,,,,,44caa0e0-e52b-4c71-8a48-e329b8f9468e
1179,Domue,4,1171,,,,,3de279b9-d561-4909-838b-e0afdaf98d4c,,Domue,,,,,,,64cfc758-4b59-461d-9241-7aea82ed4a4c
1180,Domue-sede,5,1179,,,,,536151e3-0f0f-43b2-8c44-38fd34a3608a,,Domue-Sede,,,,,,,52bf7de8-3148-4f3e-b1a3-8d2e24b9e337
1181,Bonga,5,1179,,,,,6c8d96a6-bccb-49f7-8f53-6516a6fe4405,,#N/A,,,,,,,#N/A
1182,Catondo,5,1179,,,,,289205cb-037e-4c4b-a073-f2b5f2acbd7a,,#N/A,,,,,,,#N/A
1183,Camphessa,5,1179,,,,,5c22ef24-0fab-4d27-a80d-4230f7e86900,,#N/A,,,,,,,#N/A
1184,Chifumbe,5,1179,,,,,6ece2a8e-94b9-432e-9669-9a87f8698382,,Chifumbe,,,,,,,1344fc1e-de49-4f75-a951-21dc14cfac3a
1185,Khombe,5,1179,,,,,e97eee3d-8c70-4062-87a8-b90fd08b6554,,#N/A,,,,,,,#N/A
1186,Liranga,5,1179,,,,,2e9ed07f-edf7-48cc-b79c-9a5ffb44b6d7,,#N/A,,,,,,,#N/A
1187,Mpandula,5,1179,,,,,d7056636-da20-4a38-a0a4-1775e06224ba,,#N/A,,,,,,,#N/A
1188,Ndaula,5,1179,,,,,b00e68c7-b842-408c-a034-e6d4766f79d6,,Ndaula,,,,,,,8580f383-f32f-4de1-b407-5a7ef4a4157f
1189,Nkhame,5,1179,,,,,d1c6f960-e726-4a70-97e7-212aa711d846,,Nkhame,,,,,,,4e4141a8-92ec-4f00-98a2-f3b34e1eb384
1190,Seze,5,1179,,,,,289e86a8-7537-4ed6-bbc1-5ac74bdfacff,,Seze,,,,,,,ee086622-a5d8-4714-b833-2f561417b624
